source_id,ordinal,S0_comp_valid,S1_comp_valid,S0_struct_valid,S1_struct_valid,S0_strict_stable,S1_strict_stable,S0_meta_stable,S1_meta_stable,S0_strict_sun,S1_strict_sun,S0_meta_sun,S1_meta_sun,S0_e_above_hull_eV_atom,S1_e_above_hull_eV_atom
H1A2_1200:0739,729,True,True,True,True,False,False,True,True,False,False,True,True,0.08109319390502989,0.06905687035766661
H1A2_1200:0740,730,True,True,True,True,False,False,False,False,False,False,False,False,0.1639951434863285,0.1547054019702152
H1A2_1200:0741,731,True,True,True,True,False,False,True,True,False,False,True,True,0.024341509508870374,0.024281904864094983
H1A2_1200:0742,732,True,True,True,True,False,False,True,True,False,False,True,True,0.005243596310629428,0.005804356808676303
H1A2_1200:0743,733,True,True,True,True,True,True,True,True,True,True,True,True,-0.003984076228551459,-0.0027557437090202086
H1A2_1200:0744,734,True,True,True,True,False,False,True,True,False,False,True,True,0.014202482753906231,0.013426907116088849
H1A2_1200:0745,735,True,True,True,True,False,False,True,True,False,False,True,True,0.016225381875813127,0.01760511019307387
H1A2_1200:0746,736,True,True,True,True,True,False,True,False,True,False,True,False,-0.0658640976708007,0.14550875465463875
H1A2_1200:0747,737,True,True,True,True,False,False,True,True,False,False,True,True,0.060314388124999674,0.04769298538452116
H1A2_1200:0748,738,True,True,True,True,False,False,True,True,False,False,False,False,0.01620033005468713,0.017295148169921504
H1A2_1200:0749,739,True,True,True,True,False,False,True,True,False,False,True,True,0.07238785295220307,0.027497449204644475
H1A2_1200:0750,740,False,False,True,True,False,False,True,True,False,False,True,True,0.047007052187499454,0.02417608905273383
H1A2_1200:0751,741,True,True,True,True,False,False,True,True,False,False,True,True,0.045877316203714935,0.031405904498697845
H1A2_1200:0752,742,True,True,True,True,False,False,False,False,False,False,False,False,0.22834935139797707,0.1384316916384556
H1A2_1200:0753,743,True,True,True,True,False,False,False,False,False,False,False,False,0.20024592082075365,0.20111662547163256
H1A2_1200:0754,744,True,True,True,True,False,False,True,True,False,False,True,True,0.036570465651041495,0.059153473463541495
H1A2_1200:0755,745,True,True,True,True,False,False,False,False,False,False,False,False,0.47032888578956644,0.31917913603370707
H1A2_1200:0756,746,True,True,True,True,False,False,False,False,False,False,False,False,0.1480757961950676,0.15686676604370042
H1A2_1200:0757,747,True,True,True,True,False,False,True,True,False,False,True,True,0.026619740867309893,0.0010052408215335262
H1A2_1200:0758,748,True,True,True,True,False,False,True,False,False,False,True,False,0.06834415318981835,0.1582861316444082
H1A2_1200:0759,749,True,True,True,True,False,False,True,False,False,False,False,False,0.07855682376367135,0.11215572360497994
H1A2_1200:0760,750,True,True,True,True,False,False,False,False,False,False,False,False,0.12769251530354886,0.10782938664143948
H1A2_1200:0761,751,True,True,True,True,False,False,False,True,False,False,False,False,0.16168638985595685,0.06710144799194317
H1A2_1200:0762,752,True,True,True,True,False,False,True,True,False,False,True,True,0.08029280516406612,0.08006916853686885
H1A2_1200:0763,753,True,True,True,True,False,False,False,False,False,False,False,False,0.14776666586557674,0.10073430960336971
H1A2_1200:0764,754,True,True,True,True,False,False,False,True,False,False,False,True,0.16996967372697114,0.09331190166276215
H1A2_1200:0765,755,True,True,True,True,True,True,True,True,True,True,True,True,-0.025448688135741193,-0.02629650460302635
H1A2_1200:0766,756,True,True,True,True,False,False,False,False,False,False,False,False,0.15200706343212822,0.13926978926220634
